soundfile,0.12.1,0.12.1
soupsieve,2.6,2.6
soxr,0.4.0,0.5.0.post1
stack-data,0.6.3,0.6.3
starlette,0.38.5,0.39.2
sympy,1.13.1,1.13.3
tabulate,0.9.0,0.9.0
tbb,2021.13.0,2021.13.1
tenacity,9.0.0,9.0.0
tensorboard,2.18.0,2.18.0
tensorboard-data-server,0.7.2,0.7.2
termcolor,2.4.0,2.5.0
threadpoolctl,3.5.0,3.5.0
tiktoken,0.7.0,0.8.0
tokenizers,0.19.1,0.20.1
torch,2.3.1,2.4.1
torchvision,0.18.1,0.19.1
tqdm,4.65.2,4.66.5
traitlets,5.14.3,5.14.3
transformers,4.44.2,4.45.2
typer,0.12.5,0.12.5
typing_extensions,4.12.2,4.12.2
tzdata,2024.1,2024.2
urllib3,1.26.19,2.2.3
uvicorn,0.30.6,0.31.1
watchfiles,0.24.0,0.24.0
wcwidth,0.2.13,0.2.13
websocket-client,1.8.0,1.8.0
websockets,13.0.1,13.1
wrapt,1.16.0,1.16.0
zipp,3.20.1,3.20.2
